algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,PCA,3.0,,,,,0.3312437907541486,1.491450013526398,219.43291137913351
KMeans,PCA,4.0,,,,,0.2865113846798814,1.4079458689225506,179.00168537723115
KMeans,PCA,5.0,,,,,0.175273113700392,1.6655284012367002,159.24762292244176
KMeans,PCA,6.0,,,,,0.1746805938995087,1.6215989698447453,146.3511507656324
KMeans,PCA,7.0,,,,,0.1689417066583493,1.6073961033998898,135.0862090360114
KMeans,PCA,8.0,,,,,0.1656640012436159,1.5455085279924,125.2215933742165
GMM,PCA,2.0,,,,,0.3258146032244426,1.326562913315425,264.97310308966354
GMM,PCA,3.0,,,,,0.297300352283072,1.856684227880562,158.97744494089795
GMM,PCA,4.0,,,,,0.2965904981193677,1.6337062200936798,122.17927696958742
GMM,PCA,5.0,,,,,0.1268942687847698,2.1833101000981303,121.17868605412718
GMM,PCA,6.0,,,,,0.1242157033687516,2.111810029230179,99.74662782416158
GMM,PCA,7.0,,,,,0.112817950956991,2.0371732850120505,101.57917537785012
GMM,PCA,8.0,,,,,0.1166192276268577,1.9027036898357987,94.1131052494321
Agglomerative,PCA,2.0,,,,,0.3445302604440636,1.2935322199596866,281.6126756804783
Agglomerative,PCA,3.0,,,,,0.3232090797085015,1.5768411980469637,208.0900829055255
Agglomerative,PCA,4.0,,,,,0.295690789152027,1.5420517911639064,165.94275666598674
Agglomerative,PCA,5.0,,,,,0.2958808250010052,1.4509229715625906,146.19094605526598
Agglomerative,PCA,6.0,,,,,0.1459458915830969,1.7622557148354137,134.90877267078162
Agglomerative,PCA,7.0,,,,,0.1496715552433458,1.596996080945947,123.33877329261723
Agglomerative,PCA,8.0,,,,,0.1386492806587641,1.5499842277742968,114.44265592888738
Spectral,PCA,2.0,,,,,0.3409030085692517,1.2646754019958046,281.15289749046804
Spectral,PCA,3.0,,,,,0.264177080077968,1.582434940248195,195.85144447350825
Spectral,PCA,4.0,,,,,0.1483757821998271,1.7749801931967244,160.26541401285536
Spectral,PCA,5.0,,,,,0.126317638530771,1.696194288648898,134.16067312752446
Spectral,PCA,6.0,,,,,0.1290463668544603,1.55427389534774,126.33905808273016
Spectral,PCA,7.0,,,,,0.1364533309817893,1.5817730859812495,122.94651062175308
Spectral,PCA,8.0,,,,,0.1249900864023862,1.5693171338873069,113.6099613834238
DBSCAN,PCA,,1.5,,,,0.1008906400877584,1.427334473812417,5.265058850193989
BIRCH,PCA,,,,0.5,561.0,0.0070592712426557,0.1557028146927428,75.265591239181
BIRCH,PCA,,,,1.0,422.0,0.040701446384431,0.5057218380603108,30.35282633759945
BIRCH,PCA,,,,1.5,270.0,0.0317569720506391,0.7683665941226282,25.980518085126047
OPTICS,PCA,,,3.0,,22.0,-0.3850005127746788,1.666311047745668,2.887767057274304
OPTICS,PCA,,,5.0,,6.0,-0.3646462907224238,1.8095628087716555,4.1493058497648665
OPTICS,PCA,,,10.0,,2.0,-0.3376586056212334,1.973021616506646,3.4809736199450847
K-Means,raw,2.0,,,,,0.6972643037728601,0.5044037959937963,1300.2075740879543
K-Means,raw,3.0,,,,,0.6695935379216325,0.5727505926131385,1253.8633819696909
K-Means,raw,4.0,,,,,0.5334604235282214,0.6176944586938494,1465.6707736105832
K-Means,raw,5.0,,,,,0.5102279689573959,0.6145023440075082,1621.0079582559983
K-Means,raw,6.0,,,,,0.4856594798405008,0.6733689254899727,1631.2175130304452
K-Means,raw,7.0,,,,,0.4666104915707838,0.680073222820974,1721.233075888853
K-Means,raw,8.0,,,,,0.4788909091978483,0.6082523315683945,1752.1411806020626
GMM,raw,2.0,,,,,0.5136974005443669,0.7206448584995597,633.631726442391
GMM,raw,3.0,,,,,0.5066601025073267,0.6590757352582923,734.9567649790142
