algorithm,k,ARI_mean,ARI_std,min_samples,Stability Score,preprocessing,threshold,eps
K-Means,2.0,0.9848,0.0187,,0.9626,outliers,,
K-Means,3.0,0.7519,0.1864,,0.6272,outliers,,
K-Means,4.0,0.8169,0.1169,,0.7662,outliers,,
K-Means,5.0,0.6925,0.1433,,0.7134,outliers,,
K-Means,6.0,0.5813,0.0997,,0.8006,outliers,,
K-Means,7.0,0.6339,0.139,,0.722,outliers,,
K-Means,8.0,0.6591,0.1198,,0.7604,outliers,,
GMM,2.0,0.9503,0.0431,,0.9138,outliers,,
GMM,3.0,0.5753,0.1244,,0.7512,outliers,,
GMM,4.0,0.5084,0.1324,,0.7352000000000001,outliers,,
GMM,5.0,0.5097,0.1094,,0.7812,outliers,,
GMM,6.0,0.512,0.0862,,0.8276,outliers,,
GMM,7.0,0.4786,0.1018,,0.7964,outliers,,
GMM,8.0,0.4595,0.0763,,0.8473999999999999,outliers,,
Agglomerative,2.0,0.7499,0.115,,0.77,outliers,,
Agglomerative,3.0,0.6137,0.1979,,0.6042000000000001,outliers,,
Agglomerative,4.0,0.4785,0.1189,,0.7622,outliers,,
Agglomerative,5.0,0.3814,0.061,,0.878,outliers,,
Agglomerative,6.0,0.3689,0.0603,,0.8794,outliers,,
Agglomerative,7.0,0.3787,0.0531,,0.8938,outliers,,
Agglomerative,8.0,0.3785,0.0562,,0.8876,outliers,,
Spectral,2.0,0.9192,0.0603,,0.8794,outliers,,
Spectral,3.0,0.6403,0.1691,,0.6617999999999999,outliers,,
Spectral,4.0,0.6309,0.1587,,0.6826,outliers,,
Spectral,5.0,0.6064,0.1362,,0.7276,outliers,,
Spectral,6.0,0.5461,0.1194,,0.7612,outliers,,
Spectral,7.0,0.528,0.0898,,0.8204,outliers,,
Spectral,8.0,0.526,0.0865,,0.827,outliers,,
OPTICS,,0.8588,0.0986,3.0,0.8028,outliers,,
OPTICS,,0.9219,0.1936,5.0,0.6128,outliers,,
K-Means,2.0,0.9846,0.0204,,0.9592,PCA+Outliers,,
K-Means,3.0,0.7503,0.2089,,0.5822,PCA+Outliers,,
K-Means,4.0,0.8268,0.1024,,0.7952,PCA+Outliers,,
K-Means,5.0,0.6865,0.1462,,0.7076,PCA+Outliers,,
K-Means,6.0,0.5912,0.1198,,0.7604,PCA+Outliers,,
K-Means,7.0,0.6233,0.1242,,0.7516,PCA+Outliers,,
K-Means,8.0,0.6691,0.1059,,0.7882,PCA+Outliers,,
GMM,2.0,0.932,0.0589,,0.8822,PCA+Outliers,,
GMM,3.0,0.7695,0.083,,0.834,PCA+Outliers,,
GMM,4.0,0.6051,0.1065,,0.787,PCA+Outliers,,
GMM,5.0,0.5535,0.0898,,0.8204,PCA+Outliers,,
GMM,6.0,0.4061,0.0584,,0.8832,PCA+Outliers,,
